Metadata_cell_type,Metadata_treatment,Metadata_stimulation,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Object_Count,lower_outlier_cellSpecific,corrupted
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F10,25,13306,,
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F11,25,13163,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G02,25,15819,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G03,25,15670,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G04,25,15317,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G05,25,15279,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G06,25,15501,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G07,25,15332,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G08,25,15412,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G09,25,15040,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G10,25,15511,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G11,25,15515,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B02,25,8932,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B03,25,8372,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B04,25,7995,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B05,25,8019,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B06,25,8792,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B07,25,8181,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B08,25,7285,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B09,25,7868,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B10,25,7877,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B11,25,7459,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C02,25,6566,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C03,25,6931,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C04,25,6711,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C05,25,6029,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C06,25,6492,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C07,25,6938,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C08,25,6939,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C09,25,6978,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C10,25,6814,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,C11,25,6872,,
primary smc,siCDKN2B,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D02,25,6468,,1
primary smc,siCDKN2B,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D03,25,6046,,1
primary smc,siCDKN2B,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D04,25,6558,,
primary smc,siCDKN2B,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D05,25,6734,,
primary smc,siCDKN2B,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D06,25,6293,,
primary smc,siCDKN2B,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D07,25,6130,,
primary smc,siCDKN2B,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D08,25,5950,,
primary smc,siCDKN2B,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D09,25,6077,,
primary smc,siCDKN2B,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D10,25,6111,,
primary smc,siCDKN2B,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,D11,25,6205,,
primary smc,siCDKN2A,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E02,25,6951,,
primary smc,siCDKN2A,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E03,25,5813,,1
primary smc,siCDKN2A,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E04,25,5699,,1
