"features","Compartment","Channel","Measure"
"Cells_Granularity_16_AGP","Cells","AGP","Granularity"
"Cells_Granularity_16_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_16_DNA","Cells","DNA","Granularity"
"Cells_Granularity_16_Mito","Cells","Mito","Granularity"
"Cells_Granularity_1_AGP","Cells","AGP","Granularity"
"Cells_Granularity_1_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_1_DNA","Cells","DNA","Granularity"
"Cells_Granularity_1_Mito","Cells","Mito","Granularity"
"Cells_Granularity_2_AGP","Cells","AGP","Granularity"
"Cells_Granularity_2_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_2_DNA","Cells","DNA","Granularity"
"Cells_Granularity_2_Mito","Cells","Mito","Granularity"
"Cells_Granularity_3_AGP","Cells","AGP","Granularity"
"Cells_Granularity_3_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_3_DNA","Cells","DNA","Granularity"
"Cells_Granularity_3_Mito","Cells","Mito","Granularity"
"Cells_Granularity_4_AGP","Cells","AGP","Granularity"
"Cells_Granularity_4_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_4_DNA","Cells","DNA","Granularity"
"Cells_Granularity_4_Mito","Cells","Mito","Granularity"
"Cells_Granularity_5_AGP","Cells","AGP","Granularity"
"Cells_Granularity_5_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_5_DNA","Cells","DNA","Granularity"
"Cells_Granularity_5_Mito","Cells","Mito","Granularity"
"Cells_Granularity_6_AGP","Cells","AGP","Granularity"
"Cells_Granularity_6_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_6_DNA","Cells","DNA","Granularity"
"Cells_Granularity_6_Mito","Cells","Mito","Granularity"
"Cells_Granularity_7_AGP","Cells","AGP","Granularity"
"Cells_Granularity_7_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_7_DNA","Cells","DNA","Granularity"
"Cells_Granularity_7_Mito","Cells","Mito","Granularity"
"Cells_Granularity_8_AGP","Cells","AGP","Granularity"
"Cells_Granularity_8_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_8_DNA","Cells","DNA","Granularity"
"Cells_Granularity_8_Mito","Cells","Mito","Granularity"
"Cells_Granularity_9_AGP","Cells","AGP","Granularity"
"Cells_Granularity_9_BODIPYRNA","Cells","BODIPYRNA","Granularity"
"Cells_Granularity_9_DNA","Cells","DNA","Granularity"
"Cells_Granularity_9_Mito","Cells","Mito","Granularity"
"Cells_Intensity_IntegratedIntensityEdge_AGP","Cells","AGP","Intensity"
"Cells_Intensity_IntegratedIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_IntegratedIntensityEdge_DNA","Cells","DNA","Intensity"
"Cells_Intensity_IntegratedIntensityEdge_Mito","Cells","Mito","Intensity"
"Cells_Intensity_IntegratedIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_IntegratedIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_IntegratedIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_IntegratedIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_LowerQuartileIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_LowerQuartileIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_LowerQuartileIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_LowerQuartileIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MADIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MADIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MADIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MADIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MassDisplacement_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MassDisplacement_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MassDisplacement_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MassDisplacement_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MaxIntensityEdge_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MaxIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MaxIntensityEdge_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MaxIntensityEdge_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MaxIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MaxIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MaxIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MaxIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MeanIntensityEdge_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MeanIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MeanIntensityEdge_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MeanIntensityEdge_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MeanIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MeanIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MeanIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MeanIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MedianIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MedianIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MedianIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MedianIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MinIntensityEdge_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MinIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MinIntensityEdge_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MinIntensityEdge_Mito","Cells","Mito","Intensity"
"Cells_Intensity_MinIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_MinIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_MinIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_MinIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_StdIntensityEdge_AGP","Cells","AGP","Intensity"
"Cells_Intensity_StdIntensityEdge_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_StdIntensityEdge_DNA","Cells","DNA","Intensity"
"Cells_Intensity_StdIntensityEdge_Mito","Cells","Mito","Intensity"
"Cells_Intensity_StdIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_StdIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_StdIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_StdIntensity_Mito","Cells","Mito","Intensity"
"Cells_Intensity_UpperQuartileIntensity_AGP","Cells","AGP","Intensity"
"Cells_Intensity_UpperQuartileIntensity_BODIPYRNA","Cells","BODIPYRNA","Intensity"
"Cells_Intensity_UpperQuartileIntensity_DNA","Cells","DNA","Intensity"
"Cells_Intensity_UpperQuartileIntensity_Mito","Cells","Mito","Intensity"
"Cells_Location_CenterMassIntensity_X_AGP","Cells","AGP","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_X_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_X_DNA","Cells","DNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_X_Mito","Cells","Mito","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Y_AGP","Cells","AGP","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Y_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Y_DNA","Cells","DNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Y_Mito","Cells","Mito","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Z_AGP","Cells","AGP","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Z_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Z_DNA","Cells","DNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_CenterMassIntensity_Z_Mito","Cells","Mito","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_Center_X","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_Center_Y","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_Center_Z","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_X_AGP","Cells","AGP","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_X_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_X_DNA","Cells","DNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_X_Mito","Cells","Mito","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Y_AGP","Cells","AGP","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Y_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Y_DNA","Cells","DNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Y_Mito","Cells","Mito","Location/Shape/Size/
Neighbor/Count"
